570,570,Dota 2,Valve,Valve,,1414361,278640,0,"100,000,000 .. 200,000,000",37507,1838,1141,1040,0,0,0,540473,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own."
8930,8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,175947,7044,0,"5,000,000 .. 10,000,000",7038,594,2532,636,29.99,2999,0,20176,"Create, discover, and download new player-created maps, scenarios, interfaces, and more!"
107410,107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,196228,20934,0,"5,000,000 .. 10,000,000",13319,565,1792,186,29.99,2999,0,16627,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war."
221380,221380,Age of Empires II (2013),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,,89151,4072,0,"5,000,000 .. 10,000,000",2801,0,560,0,19.99,1999,0,4568,"Age of Empires II has been re-imagined in high definition with new features, trading cards, improved AI, workshop support, multiplayer, Steamworks integration and more!"
227940,227940,Heroes & Generals,TLM Partners,TLM Partners,,92631,44809,0,"10,000,000 .. 20,000,000",957,218,77,238,0,0,0,2514,"Shoot, blow sh!t up, fly or bark orders in the ultimate Free-to-Play, large scale, multiplayer, shooter experience. Thousands of players in multiple battles fighting one massive war of nations. The first to capture 15 cities takes the glory."
231430,231430,Company of Heroes 2,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,71353,19566,0,"5,000,000 .. 10,000,000",2041,420,280,495,19.99,1999,0,6544,"Experience the ultimate WWII RTS platform with COH2 and its standalone expansions. This package includes the base game, which you can then upgrade by purchasing The Western Front Armies, Ardennes Assault and/or The British Forces. More info in the ""About This Game"" section below."
233450,233450,Prison Architect,"Double Eleven, Introversion Software",Paradox Interactive,,55136,5718,0,"5,000,000 .. 10,000,000",1931,167,654,210,29.99,2999,0,1137,Only the world’s most ruthless Warden can contain the world’s most ruthless inmates. Design and develop your personalized penitentiary in Prison Architect.
236850,236850,Europa Universalis IV,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,,89028,14252,0,"2,000,000 .. 5,000,000",12501,1013,934,904,39.99,3999,0,18783,"Four centuries of detailed history come alive in Paradox’s classic grand strategy game. Lead any nation from Renaissance to Revolution in a complex simulation of the early modern world. Master the art of war, diplomacy and trade to shape and change your nation’s history!"
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,185235,24800,0,"5,000,000 .. 10,000,000",5277,606,1030,305,24.99,2499,0,21117,"7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!"
255710,255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,175581,12574,0,"5,000,000 .. 10,000,000",3115,480,816,325,29.99,2999,0,17508,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.
